id,Name,Category,TruckID,Length,Breadth,Height,Volume,Weight,Price,Display_name
1,Tempo 407,OPEN,1,9.5,5.5,5.5,287.375,1500,1,Tempo 407  1500
2,Tempo 407,OPEN,2,9.5,5.5,5.5,287.375,2000,1.5,Tempo 407  2000
3,Tempo 407,OPEN,3,9.5,5.5,5.5,287.375,2500,2,Tempo 407  2500
4,13 Feet,OPEN,4,13,5.5,7,500.5,3500,3,13 Feet  3500
5,14 Feet,OPEN,5,14,6,6,504,4000,3.5,14 Feet  4000
6,17 Feet,OPEN,6,17,6,7,672,6000,4,17 Feet  6000
7,18 Feet Taurus,OPEN,7,18,7,7,882,8000,6,18 Feet Taurus  8000
8,19 Feet Taurus,OPEN,8,19,7,7,931,9000,10,19 Feet Taurus  9000
9,10 TYRE,OPEN,9,22,7.5,8,1320,14000,11,10 TYRE  14000
10,10 TYRE,OPEN,10,22,7.5,8,1320,15000,12,10 TYRE  15000
11,10 TYRE,OPEN,11,22,7.5,8,1320,16000,12.5,10 TYRE  16000
12,12 TYRE,OPEN,12,22,7.5,8,1320,20000,15,12 TYRE  20000
13,12 TYRE,OPEN,13,22,7.5,8,1320,21000,16.2,12 TYRE  21000
14,12 TYRE,OPEN,14,22,7.5,8,1320,22000,16.4,12 TYRE  22000
15,14 TYRE,OPEN,15,22,7.5,8,1320,24000,16.6,14 TYRE  24000
16,14 TYRE,OPEN,16,22,7.5,8,1320,25000,16.7,14 TYRE  25000
17,14 TYRE,OPEN,17,22,7.5,8,1320,26000,16.8,14 TYRE  26000
18,Tempo 407,CONTAINER,18,9.5,5.5,5.5,287.375,1500,1,Tempo 407  1500
19,Tempo 407,CONTAINER,19,9.5,5.5,5.5,287.375,2000,1.5,Tempo 407  2000
20,Tempo 407,CONTAINER,20,9.5,5.5,5.5,287.375,2500,2,Tempo 407  2500
21,13 Feet,CONTAINER,21,13,5.5,7,500.5,3500,3,13 Feet  3500
22,14 Feet,CONTAINER,22,14,6,6,504,4000,3.5,14 Feet  4000
23,17 Feet,CONTAINER,23,17,6,7,672,6000,4,17 Feet  6000
24,20 ft sxl,CONTAINER,24,20,8,8,1280,6000,5,20 ft sxl  6000
25,20 ft sxl,CONTAINER,25,20,8,8,1280,6500,5.3,20 ft sxl  6500
26,20 ft sxl,CONTAINER,26,20,8,8,1280,7000,5.6,20 ft sxl  7000
27,24 ft sxl,CONTAINER,27,24,8,8,1536,6000,7,24 ft sxl  6000
28,24 ft sxl,CONTAINER,28,24,8,8,1536,6500,7.3,24 ft sxl  6500
29,24 ft sxl,CONTAINER,29,24,8,8,1536,7000,7.9,24 ft sxl  7000
30,24 ft mxl,CONTAINER,30,24,8,8,1536,14000,13,24 ft mxl  14000
31,24 ft mxl,CONTAINER,31,24,8,8,1536,14500,13.6,24 ft mxl  14500
32,24 ft mxl,CONTAINER,32,24,8,8,1536,15000,13.9,24 ft mxl  15000
33,32 ft sxl,CONTAINER,33,32,8,8,2048,6000,8,32 ft sxl  6000
34,32 ft sxl,CONTAINER,34,32,8,8,2048,6500,8.5,32 ft sxl  6500
35,32 ft sxl,CONTAINER,35,32,8,8,2048,7000,8.75,32 ft sxl  7000
36,32 ft sxl HQ,CONTAINER,36,32,9,10,2880,6000,9,32 ft sxl HQ  6000
37,32 ft sxl HQ,CONTAINER,37,32,9,10,2880,6500,9.5,32 ft sxl HQ  6500
38,32 ft sxl HQ,CONTAINER,38,32,9,10,2880,7000,9.75,32 ft sxl HQ  7000
39,32 ft mxl,CONTAINER,39,32,8,8,2048,14000,14,32 ft mxl  14000
40,32 ft mxl,CONTAINER,40,32,8,8,2048,14500,14.1,32 ft mxl  14500
41,32 ft mxl,CONTAINER,41,32,8,8,2048,15000,14.25,32 ft mxl  15000
42,32 ft mxl HQ,CONTAINER,42,32,9,10,2880,14000,14.5,32 ft mxl HQ  14000
43,32 ft mxl HQ,CONTAINER,43,32,9,10,2880,14500,14.75,32 ft mxl HQ  14500
44,32 ft mxl HQ,CONTAINER,44,32,9,10,2880,15000,14.9,32 ft mxl HQ  15000
45,32 Ft txl,CONTAINER,45,32,8,8,2048,20000,17.1,32 Ft txl  20000
46,32 Ft txl,CONTAINER,46,32,8,8,2048,20500,17.2,32 Ft txl  20500
47,32 Ft txl,CONTAINER,47,32,8,8,2048,21000,17.3,32 Ft txl  21000
48,32 Ft txl HQ,CONTAINER,48,32,9,10,2880,20000,17.5,32 Ft txl HQ  20000
49,32 Ft txl HQ,CONTAINER,49,32,9,10,2880,20500,17.8,32 Ft txl HQ  20500
50,32 Ft txl HQ,CONTAINER,50,32,9,10,2880,21000,17.9,32 Ft txl HQ  21000
51,Low bed,TRAILER,51,42,8,8.5,2856,23000,17.95,Low bed  23000
52,Low bed,TRAILER,52,42,8,8.5,2856,28000,18,Low bed  28000
53,Low bed,TRAILER,53,42,8,8.5,2856,35000,19,Low bed  35000
54,Semi bed,TRAILER,54,42,8,8.5,2856,23000,20,Semi bed  23000
55,Semi bed,TRAILER,55,42,8,8.5,2856,28000,21,Semi bed  28000
56,Semi bed,TRAILER,56,42,8,8.5,2856,35000,22,Semi bed  35000
57,High bed,TRAILER,57,42,8,8.5,2856,23000,23,High bed  23000
58,High bed,TRAILER,58,42,8,8.5,2856,28000,24,High bed  28000
59,High bed,TRAILER,59,42,8,8.5,2856,35000,25,High bed  35000
60,Tempo 407,OPEN,60,9.5,5.5,5.5,287.375,1500,1,Tempo 407  1500
61,Tempo 407,OPEN,61,9.5,5.5,5.5,287.375,2000,1.5,Tempo 407  2000
62,Tempo 407,OPEN,62,9.5,5.5,5.5,287.375,2500,2,Tempo 407  2500
63,13 Feet,OPEN,63,13,5.5,7,500.5,3500,3,13 Feet  3500
