,B,C,D,F,G,H,I,L,M,N,P,R,S,U,W,Y
CD1,34,37,44,27,19,39,74,44,27,61,12,65,69,22,14,21
CD2,18,33,47,24,14,38,66,41,36,72,15,62,63,31,12,18
CD3,32,43,36,12,21,51,75,33,23,60,24,68,85,18,13,14
RD1,13,31,55,29,15,62,74,43,28,73,8,59,54,32,19,20
RD2,8,28,34,24,17,68,75,34,25,70,16,56,72,31,14,11
RD3,9,34,43,25,18,68,84,25,32,76,14,69,64,27,11,18
TH1,15,20,28,18,19,65,82,34,29,89,11,47,74,18,22,17
TH2,18,14,40,25,21,60,70,15,37,80,15,65,68,21,25,9
TH3,19,18,41,26,29,58,64,18,38,78,15,65,72,20,20,11
MS1,13,29,49,31,16,61,73,36,29,69,13,63,58,18,20,25
MS2,17,34,43,29,14,62,64,26,26,71,26,78,64,21,18,12
MS3,13,22,43,16,11,70,68,46,35,57,30,71,57,19,22,20
MT1,16,18,56,13,27,67,61,43,20,63,14,43,67,34,41,23
MT2,15,21,66,21,19,50,62,50,24,68,14,40,58,31,36,26
MT3,19,17,70,12,28,53,72,39,22,71,11,40,67,20,41,17
TextX1,24,26,80,17,32,91,86,54,32,91,19,58,93,50,58,30
TextX2,19,33,35,22,40,96,116,39,40,129,17,72,104,30,25,24
