CNTY	DIFF	STATUS	HECTARE	TOF	OWNLAND	AGE	HARVEST	R1	R2	R3	R4	R5	R6	R7	R8	R11	R12	R14	R17	R18	R19	R21	R22	R24	R28	R30	R32	R36	R37
27	1	1	166	1	1	35	88	0,449	0,622	0,255	0,1145	0,334	0,785	0,585	0,2002	0,6628	1,3698	0,232	0,0884	0,0694	0,166	0,134	0,3219	0,295	0,475	0,35	0,4313	0,886	0,572
27	1	1	101	1	0	35	88	0,45	0,617	0,2411	0,1084	0,341	0,518	0,393	0,125	0,7098	1,2534	0,1497	0,0671	0,0348	0,136	0,0802	0,3133	0,365	0,434	0,2978	0,3989	0,351	0,867
27	1	1	138	3	1	42	88	0,332	0,819	0,5568	0,1851	0,147	0,7	0,31	0,3895	0,4142	0,637	0,4847	0,0445	0,0311	0,103	0,089	0,2945	0,166	0,35	0,2468	0,3187	1,3	0,475
27	1	1	166	1	1	50	88	0,363	0,733	0,3596	0,1305	0,232	0,773	0,495	0,2779	0,4661	1,0698	0,3735	0,0621	0,048	0,108	0,0851	0,1909	0,265	0,475	0,3759	0,4313	1,385	0,47
27	1	0	137	4	1	33	88	0,44	0,65	0,3142	0,1382	0,302	0,846	0,58	0,2658	0,7715	1,4752	0,2563	0,0489	0,0414	0,127	0,0838	0,2567	0,257	0,475	0,3669	0,4313	0,886	0,52
27	1	1	107	1	1	45	88	0,306	0,755	0,2635	0,08055	0,225	0,709	0,523	0,187	0,8178	1,4682	0,1861	0,0243	0,0173	0,0652	0,039	0,1472	0,191	0,443	0,3759	0,4257	1,316	0,431
27	1	1	100	1	0	34	88	0,717	0,32	0,1628	0,1168	0,601	0,894	0,748	0,1455	0,6598	1,1018	0,1807	0,0352	0,0315	0,129	0,0784	0,3211	0,322	0,401	0,2724	0,3697	0,441	0,803
27	1	1	69	1	1	30	88	0,566	0,465	0,1172	0,06632	0,499	0,863	0,761	0,1011	0,6619	1,236	0,1325	0,0879	0,0758	0,24	0,163	0,517	0,305	0,464	0,2243	0,3886	0,761	0,656
27	1	1	176	1	1	44	88	0,145	0,881	0,2072	0,03011	0,115	0,439	0,348	0,09086	0,7797	1,4752	0,1044	0,088	0,0386	0,221	0,0711	0,4069	0,18	0,475	0,3218	0,4313	2,147	0,359
27	1	0	177	1	1	39	88	0,384	0,707	0,3346	0,1286	0,256	0,846	0,563	0,2831	0,5551	0,8736	0,3377	0,0668	0,0565	0,171	0,155	0,4696	0,166	0,365	0,1934	0,308	1,363	0,454
27	1	1	108	1	1	40	88	0,305	0,7	0,08516	0,02374	0,298	0,674	0,658	0,04883	0,7945	1,4252	0,07379	0,0694	0,0468	0,126	0,106	0,2851	0,2	0,443	0,3164	0,3957	1,398	0,453
27	1	1	123	3	1	40	88	0,352	0,805	0,554	0,1948	0,157	0,501	0,223	0,2776	0,3056	0,458	0,476	0,096	0,0481	0,1	0,145	0,3012	0,233	0,333	0,2325	0,2846	0,842	0,702
27	1	1	87	3	1	40	88	0,121	0,894	0,08516	0,02374	0,105	0,248	0,227	0,04883	0,892	1,4752	0,07379	0,114	0,0322	0,143	0,0712	0,3151	0,209	0,452	0,3098	0,4201	1,064	0,461
27	1	1	139	1	1	52	88	0,341	0,701	0,1734	0,05909	0,282	0,658	0,544	0,1141	0,4485	0,7713	0,2028	0,0957	0,0629	0,134	0,15	0,3196	0,217	0,419	0,2848	0,3556	1,368	0,518
27	1	1	57	3	1	49	88	0,153	0,866	0,1417	0,02374	0,131	0,381	0,327	0,054	0,709	1,138	0,07379	0,084	0,032	0,065	0,0849	0,1724	0,151	0,377	0,312	0,345	1,728	0,401
27	1	0	220	1	0	44	88	0,515	0,668	0,5322	0,2739	0,241	0,876	0,41	0,466	0,4585	0,7142	0,504	0,045	0,0394	0,142	0,11	0,3967	0,21	0,358	0,216	0,3186	0,777	0,588
27	1	1	110	1	1	40	88	0,497	0,559	0,2025	0,1008	0,397	1,067	0,851	0,2161	0,4404	0,8183	0,3292	0,0412	0,044	0,159	0,0952	0,3437	0,215	0,462	0,3031	0,4179	1,489	0,466
27	1	1	132	1	1	45	88	0,222	0,801	0,1285	0,02848	0,193	0,633	0,552	0,08132	0,4604	0,6537	0,1501	0,114	0,0813	0,227	0,275	0,7695	0,104	0,296	0,06813	0,2143	2,147	0,359
27	1	0	136	1	0	35	88	0,13	0,884	0,125	0,02374	0,114	0,223	0,195	0,04883	0,892	1,4752	0,07379	0,101	0,0224	0,0788	0,0394	0,1384	0,333	0,475	0,3759	0,4313	0,723	0,584
27	1	1	84	3	1	40	88	0,451	0,769	0,6337	0,2856	0,165	0,884	0,324	0,5599	0,2697	0,3677	0,6749	0,0269	0,0237	0,0885	0,0891	0,332	0,136	0,266	0,178	0,2427	1,131	0,51
27	1	1	119	3	0	49	88	0,44	0,596	0,1374	0,0604	0,379	0,737	0,636	0,1013	0,3004	0,4143	0,2522	0,104	0,0767	0,155	0,279	0,5641	0,164	0,275	0,1198	0,1982	1,276	0,596
27	1	1	97	1	1	40	88	0,666	0,395	0,2334	0,1555	0,511	1,012	0,776	0,2362	0,6383	1,347	0,2701	0,0443	0,0448	0,12	0,0852	0,2273	0,346	0,475	0,3759	0,4313	0,644	0,658
27	1	1	73	3	0	35	88	0,502	0,526	0,1092	0,05488	0,448	0,977	0,871	0,1068	0,7331	1,0996	0,1271	0,0595	0,0581	0,141	0,174	0,4235	0,171	0,333	0,1922	0,2752	1,106	0,514
27	1	1	36	3	1	28	88	0,802	0,237	0,2056	0,1649	0,637	1,685	1,241	0,3465	0,1465	0,2913	0,7028	0,0529	0,0891	0,22	0,179	0,4422	0,237	0,475	0,2772	0,4079	1,608	0,476
