id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
2019-421042,2019-01-07,000001,Vente,280000,5,,ALL DES COURLINS,0172,95610,95218,Éragny,95,,,95218000BI0003,,,5,107.14,,,,,,,,,1,1,Maison,89,5,,,,,,2.109945,49.015815
2019-421042,2019-01-07,000001,Vente,280000,9001,,ALL DES COURLINS,0172,95610,95218,Éragny,95,,,95218000BI0003,,,1005,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.109945,49.015815
2019-421043,2019-01-09,000001,Vente,385000,20,B,RUE SAINT ROMAIN,0310,95420,95690,Wy-dit-Joli-Village,95,,,956900000A0879,,,,,,,,,,,,,0,1,Maison,170,4,S,sols,,,575,1.833736,49.103714
2019-421044,2019-01-09,000001,Vente,119000,19,,RUE DE FRANCE,0270,95310,95572,Saint-Ouen-l'Aumône,95,,,95572000AY0138,,,414,61.86,,,,,,,,,1,2,Appartement,57,3,,,,,,2.132834,49.061054
2019-421045,2019-01-04,000001,Vente,115000,1,,RUE DE LA VEILLEE,1861,95800,95127,Cergy,95,,,95127000CZ0273,,,4,46.3,,,,,,,,,1,2,Appartement,46,2,,,,,,2.030874,49.045633
2019-421045,2019-01-04,000001,Vente,115000,1,,RUE DE LA VEILLEE,1861,95800,95127,Cergy,95,,,95127000CZ0273,,,35,,,,,,,,,,1,2,Appartement,30,1,,,,,,2.030874,49.045633
2019-421046,2019-01-08,000001,Vente,243000,6,,RUE PASTEUR,0320,95430,95120,Butry-sur-Oise,95,,,95120000AE0051,,,,,,,,,,,,,0,1,Maison,60,4,S,sols,,,183,2.196507,49.085221
2019-421046,2019-01-08,000001,Vente,243000,,,LA CROIX DE BUTRY,B007,95430,95120,Butry-sur-Oise,95,,,95120000AE0052,,,,,,,,,,,,,0,,,,,S,sols,,,104,2.196533,49.085426
2019-421047,2019-01-04,000001,Vente,205900,13,,RUE DE LA FALAISE,0240,95690,95446,Nesles-la-Vallée,95,,,95446000AC0188,,,,,,,,,,,,,0,1,Maison,50,2,S,sols,,,144,2.166753,49.128132
2019-421048,2019-01-04,000001,Vente,274000,100,,ALL JULES MASSENET,0196,95620,95480,Parmain,95,,,95480000AD0212,,,1233,122.46,,,,,,,,,1,1,Maison,134,5,,,,,,2.205558,49.104946
2019-421048,2019-01-04,000001,Vente,274000,100,,ALL JULES MASSENET,0196,95620,95480,Parmain,95,,,95480000AD0212,,,1198,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.205558,49.104946
2019-421049,2019-01-09,000001,Vente,305000,25,T,RUE CARNOT,0080,95480,95488,Pierrelaye,95,,,95488000AD1399,,,,,,,,,,,,,0,1,Maison,95,4,S,sols,,,183,2.15178,49.020832
2019-421050,2019-01-07,000001,Vente en l'état futur d'achèvement,214000,,,LA CROIX DES VIGNES,B021,95290,95313,L'Isle-Adam,95,,,95313000AV0270,,,403,,,,,,,,,,1,,,,,,,,,,2.224838,49.106669
2019-421050,2019-01-07,000001,Vente en l'état futur d'achèvement,214000,,,LA CROIX DES VIGNES,B021,95290,95313,L'Isle-Adam,95,,,95313000AV0270,,,426,,,,,,,,,,1,,,,,,,,,,2.224838,49.106669
2019-421050,2019-01-07,000001,Vente en l'état futur d'achèvement,214000,,,LA CROIX DES VIGNES,B021,95290,95313,L'Isle-Adam,95,,,95313000AV0270,,,619,,,,,,,,,,1,,,,,,,,,,2.224838,49.106669
2019-421051,2019-01-08,000001,Vente,111000,8,,AV DES TROIS EPIS,1796,95800,95127,Cergy,95,,,95127000EK0149,,,58,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.013356,49.051815
2019-421051,2019-01-08,000001,Vente,111000,8,,AV DES TROIS EPIS,1796,95800,95127,Cergy,95,,,95127000EK0149,,,25,33.05,,,,,,,,,1,2,Appartement,33,2,,,,,,2.013356,49.051815
2019-421052,2019-01-09,000001,Vente,280500,48,,BD DES CHASSEURS,0083,95800,95183,Courdimanche,95,,,95183000HK0102,,,,,,,,,,,,,0,1,Maison,85,4,S,sols,,,193,2.003076,49.046849
2019-421052,2019-01-09,000001,Vente,280500,,,LE FIEF A CAVAN,B023,95800,95183,Courdimanche,95,,,95183000HK0496,,,,,,,,,,,,,0,,,,,S,sols,,,58,2.003165,49.046841
2019-421053,2019-01-08,000001,Vente,149000,11,,RUE DES CHARMILLES,0121,95610,95218,Éragny,95,,,95218000AD0309,,,2178,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.098348,49.032408
2019-421053,2019-01-08,000001,Vente,149000,11,,RUE DES CHARMILLES,0121,95610,95218,Éragny,95,,,95218000AD0309,,,2033,42,,,,,,,,,1,2,Appartement,42,2,,,,,,2.098348,49.032408
2019-421054,2019-01-11,000001,Vente,292000,28,,RUE SERE DEPOIN,1770,95300,95500,Pontoise,95,,,95500000AK0883,,,10,,9,110.75,,,,,,,2,4,Local industriel. commercial ou assimilé,110,0,,,,,,2.096477,49.047941
2019-421055,2019-01-02,000001,Vente,162000,9001,,RUE DE LA JUSTICE TURQUOISE,0874,95000,95127,Cergy,95,,,95127000AT0009,,,124,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.058156,49.044272
2019-421055,2019-01-02,000001,Vente,162000,3,,RUE DE LA JUSTICE TURQUOISE,0874,95000,95127,Cergy,95,,,95127000AT0009,,,31,79.54,,,,,,,,,1,2,Appartement,80,4,,,,,,2.058156,49.044272
2019-421056,2019-01-09,000001,Vente,635000,15,,CHE DES BOEUFS,0026,95540,95394,Méry-sur-Oise,95,,,95394000ZB0046,,,,,,,,,,,,,0,4,Local industriel. commercial ou assimilé,687,0,S,sols,,,1553,2.167652,49.053545
2019-421057,2019-01-10,000001,Vente,315000,8,,RUE DE COURCELLES,0160,95310,95572,Saint-Ouen-l'Aumône,95,,,95572000BC0049,,,,,,,,,,,,,0,1,Maison,104,3,S,sols,,,357,2.119834,49.054009
2019-421058,2019-01-04,000001,Vente,327400,45,,AV VICTOR HUGO,1520,95630,95392,Mériel,95,,,95392000AL0444,,,,,,,,,,,,,0,1,Maison,90,5,S,sols,,,614,2.199935,49.073837
2019-421059,2019-01-04,000001,Vente,323000,4,,SEN DE LA PLANCHE,0120,95810,95627,Vallangoujard,95,,,95627000AC0130,,,,,,,,,,,,,0,1,Maison,120,4,S,sols,,,754,2.106431,49.141759
2019-421059,2019-01-04,000001,Vente,323000,,,LE BOUT D EN HAUT,B005,95810,95627,Vallangoujard,95,,,95627000AC0131,,,,,,,,,,,,,0,,,,,J,jardins,POTAG,Jardin potager,419,2.106424,49.141863
2019-421060,2019-01-03,000001,Vente,107000,10,,RUE DES PLANTS ORANGE,1353,95000,95127,Cergy,95,,,95127000BE0005,,,1974,45.5,,,,,,,,,1,2,Appartement,44,2,,,,,,2.080243,49.030832
